description,artist,album,format,extra
"Pathologist ""Grinding Opus of Forensic Medical Problems"" LP | Vinyl",Pathologist,Grinding Opus of Forensic Medical Problems,Vinyl,
"Funeral Harvest ""Redemptio"" LP + Booklet | Vinyl",Funeral Harvest,Redemptio,Vinyl,
"Malum ""Night of the Luciferian Light"" CD | CD",Malum,Night of the Luciferian Light,CD,
"Metallica ""...And Justice for All"" CD | CD",Metallica,...And Justice for All,CD,
"Orthrelm / Behold... The Arctopus Split 7"" | Vinyl",,,,
"Wulkanaz ""HaglaNaudizEisaz"" LP | Vinyl",Wulkanaz,HaglaNaudizEisaz,Vinyl,
"Quemos ""Quemos"" CD | CD",Quemos,Quemos,CD,
"Thorns ""Thorns"" LP (VA Hardcore 1987) | Vinyl",Thorns,Thorns,Vinyl,
"Morte Incandescente ""Vala Comum"" LP | Vinyl",Morte Incandescente,Vala Comum,Vinyl,
"Lord Belial ""The Seal of Belial"" LP | Vinyl",Lord Belial,The Seal of Belial,Vinyl,
Tumulus Anmatus “Ave Casus Mundi” CD | CD,Tumulus Anmatus,Ave Casus Mundi,CD,
"Volkolak ""Чёрная Моя"" Digipak CD (Russian neo-folk) | CD",Volkolak,Чёрная Моя,CD,
"Gravfraktal ""Unhallowed Death Triumph"" LP | Vinyl",Gravfraktal,Unhallowed Death Triumph,Vinyl,
"Einsamtod ""S/T"" Digipak CD | CD",Einsamtod,S/T,CD,
"Bolt Thrower ""Those Once Loyal"" Amber Vinyl LP (2011 Pressing) | Vinyl",Bolt Thrower,Those Once Loyal,Vinyl,
"Stormwitch ""Bound to the Witch"" CD | CD",Stormwitch,Bound to the Witch,CD,
"Asunder / Graves at Sea Split LP (2nd Press, Still Sealed) | Vinyl",,,,
"Nartvind ""Breath of Night"" LP | Vinyl",Nartvind,Breath of Night,Vinyl,
"Pissrot ""Pissrot"" CD | CD",Pissrot,Pissrot,CD,
"In The Woods... ""Isle of Men"" LP | Vinyl",In The Woods...,Isle of Men,Vinyl,
"Malignant Altar ""Retribution of Jealous Gods"" LP | Vinyl",Malignant Altar,Retribution of Jealous Gods,Vinyl,
"Decayed ""Resurrectiónem Mortuórum"" CD | CD",Decayed,Resurrectiónem Mortuórum,CD,
"Chasmal Mire ""Chasmal Mire"" CD | CD",Chasmal Mire,Chasmal Mire,CD,
"Varcolaci ""Among the Cloud-Graves"" LP | Vinyl",Varcolaci,Among the Cloud-Graves,Vinyl,
"Domain ""Pandemonium"" CD (Post-Pandemonium DM) | CD",Domain,Pandemonium,CD,
"Cannibal Corpse ""Violence Unimagined - Uncensored Cover"" LP | Vinyl",Cannibal Corpse,Violence Unimagined - Uncensored Cover,Vinyl,
"Luminous Transfixion ""Elevation Within the Mists of Naaltrah"" MC | Cassette",Luminous Transfixion,Elevation Within the Mists of Naaltrah,Cassette,
"Dio ""Finding The Sacred Heart – Live In Philly 1986"" Double Red Vinyl LP | Vinyl",Dio,Finding The Sacred Heart – Live In Philly 1986,Vinyl,
"Gravavgrav ""Demo 3 - 2022"" CD | CD",Gravavgrav,Demo 3 - 2022,CD,
"Atlantic Tide ""Aeons Of Hell"" Orange Vinyl 7"" + Patch | Vinyl",Atlantic Tide,Aeons Of Hell,Vinyl,
"Sulfurous Presence ""Demo I"" Demo | Cassette",Sulfurous Presence,Demo I,Cassette,
"RAW POWER ""Reptile house - XX Anniversary"" Picture LP+CD | Vinyl",RAW POWER,Reptile house - XX Anniversary,Vinyl,
"Vermisst ""Sanktuarium Posępnych Rytów"" MC | Cassette",Vermisst,Sanktuarium Posępnych Rytów,Cassette,
"Mortuary ""Blackened Images"" MC | Cassette",Mortuary,Blackened Images,Cassette,
"Deicide ""Til Death Do Us Part"" CD | CD",Deicide,Til Death Do Us Part,CD,
"Extreme Unction ""In Sadness"" CD | CD",Extreme Unction,In Sadness,CD,
"Herxheim ""Incised Arrival"" LP (Post-Howls of Ebb) | Vinyl",Herxheim,Incised Arrival,Vinyl,
"Omen Filth / Ceremonial Worship ""The Pact of Morbid Conspiracy"" Split MC | Cassette",Omen Filth / Ceremonial Worship,The Pact of Morbid Conspiracy,Cassette,
"Belsemar ""De Dömdas Sang"" LP (Minor corner bends) | Vinyl",Belsemar,De Dömdas Sang,Vinyl,
"V/A ""Far East Gate In Inferno"" Double LP (Sabbat, Sigh, etc.) | Vinyl",V/A,Far East Gate In Inferno,Vinyl,
"Grifteskymfning ""Likpsalm"" Double LP | Vinyl",Grifteskymfning,Likpsalm,Vinyl,
"Skumstrike ""Deadly Intrusions"" MC | Cassette",Skumstrike,Deadly Intrusions,Cassette,
"Seagrave ""Stabwound"" Digipak CD | CD",Seagrave,Stabwound,CD,
"The Suspended Apparition ""It's Sealed Inside The Church"" CD | CD",The Suspended Apparition,It's Sealed Inside The Church,CD,
"Blut Aus Nord ""Ultima Thulee"" LP | Vinyl",Blut Aus Nord,Ultima Thulee,Vinyl,
"Blackdeath ""Gift"" CD | CD",Blackdeath,Gift,CD,
"Severed Boy ""Tragic Encounters"" CD | CD",Severed Boy,Tragic Encounters,CD,
"Beherit ""Drawing Down the Moon"" Test Press LP (NWN Edition) | Vinyl",Beherit,Drawing Down the Moon,Vinyl,
"Skogen ""Eld"" CD | CD",Skogen,Eld,CD,
"Norilsk ""The Idea of North"" LP | Vinyl",Norilsk,The Idea of North,Vinyl,
"Aerdryk ""Met de Drietand op Mijn Huid"" LP | Vinyl",Aerdryk,Met de Drietand op Mijn Huid,Vinyl,
"Terrorazor ""Abysmal Hymns of Disgust"" CD | CD",Terrorazor,Abysmal Hymns of Disgust,CD,
"Absurter Cryst ""Blasphemic Forgiverence"" 7"" | Vinyl",Absurter Cryst,Blasphemic Forgiverence,Vinyl,
"Villains / Fingernails ""Getting Crazy"" Test Press 7"" | Vinyl",Villains / Fingernails,Getting Crazy,Vinyl,
"Lord Kaos ""Thorns of Impurity"" Double LP | Vinyl",Lord Kaos,Thorns of Impurity,Vinyl,
"Nuclear Death ""The Planet Cachexial"" CD | CD",Nuclear Death,The Planet Cachexial,CD,
"Autophagy ""Bacteriophage"" CD | CD",Autophagy,Bacteriophage,CD,
"Timeghoul ""Tumultuous Travelings/Panaramic Twilight"" LP | Vinyl",Timeghoul,Tumultuous Travelings/Panaramic Twilight,Vinyl,
"Living Death ""Worlds Neuroses"" LP | Vinyl",Living Death,Worlds Neuroses,Vinyl,
"Devils Whorehouse ""The Howling"" Digipak MCD | CD",Devils Whorehouse,The Howling,CD,
"Ildjarn-Nidhogg ""Hardangervidda Part II"" LP (The Devil's Elixirs Press) | Vinyl",Ildjarn-Nidhogg,Hardangervidda Part II,Vinyl,
"Moenen of Xezbeth ""Dawn of Morbid Sorcery"" LP | Vinyl",Moenen of Xezbeth,Dawn of Morbid Sorcery,Vinyl,
Helleruin / De Gevreesde Ziekte Split Digipak CD | CD,,,,
"Tenebrous ""Arias Toward The Black Sun"" CD | CD",Tenebrous,Arias Toward The Black Sun,CD,
"Acid Blade ""Power Dive"" CD | CD",Acid Blade,Power Dive,CD,
"Sepulchral Triumph ""Saturnian Mysticism"" LP | Vinyl",Sepulchral Triumph,Saturnian Mysticism,Vinyl,
"Anticristo ""Diablo Salmos"" CD | CD",Anticristo,Diablo Salmos,CD,
"DeathCult ""Tyrant of All Tyrants"" CD | CD",DeathCult,Tyrant of All Tyrants,CD,
"Blodarv ""Heksen"" 7"" | Vinyl",Blodarv,Heksen,Vinyl,
"Katachthon ""Προ πάντων αρχή"" CD | CD",Katachthon,Προ πάντων αρχή,CD,
"Goliard ""The Darkest Hour"" CD | CD",Goliard,The Darkest Hour,CD,
"Vociferian ""Ɔ d ɔ ʀ a"" MC | Cassette",Vociferian,Ɔ d ɔ ʀ a,Cassette,
"Terra Caput Mundi ""Praeparatio Aeternum Bellum"" MC | Cassette",Terra Caput Mundi,Praeparatio Aeternum Bellum,Cassette,
"Thorns vs Emperor ""Split"" LP | Vinyl",Thorns vs Emperor,Split,Vinyl,
"Bullet / Enforcer ""Back On The Road/High Roller"" Split 7"" | Vinyl",Bullet / Enforcer,Back On The Road/High Roller,Vinyl,
"Obscene "" From Dead Horizon​.​.​.​To Dead Horizon"" LP | Vinyl",Obscene, From Dead Horizon​.​.​.​To Dead Horizon,Vinyl,
"Balvaz ""Balvaz"" 7"" (Cult Norse DM 1990) | Vinyl",Balvaz,Balvaz,Vinyl,
"The Moaning ""Blood From Stone"" LP | Vinyl",The Moaning,Blood From Stone,Vinyl,
"Lost in the Shadows ""Into the Silence of the Shadows"" CD | CD",Lost in the Shadows,Into the Silence of the Shadows,CD,
"Helheim ""Nidr Ok Nordr Liggr Helvegr"" White Vinyl LP | Vinyl",Helheim,Nidr Ok Nordr Liggr Helvegr,Vinyl,
"Gjaldur / Krypta Nicestwa ""Von Alten Gräbern / Krypta Nicestwa"" Split LP | Vinyl",Gjaldur / Krypta Nicestwa,Von Alten Gräbern / Krypta Nicestwa,Vinyl,
Krieg / Moloch Split LP | Vinyl,,,,
"Skála ""The Secrecy"" MC | Vinyl",Skála,The Secrecy,Vinyl,
"Lord Satanael ""Black Moon Prophecy"" Demo | Cassette",Lord Satanael,Black Moon Prophecy,Cassette,
"Unleashed ""...Revenge - Demos and EP"" CD | CD",Unleashed,...Revenge - Demos and EP,CD,
"Virulent Specter ""The Black Temple of Omniscent Manipulation"" Digipak CD | CD",Virulent Specter,The Black Temple of Omniscent Manipulation,CD,
"Mortem ""Evil Dead"" LP ('89 Peruvian Cult DM Demo) | Vinyl",Mortem,Evil Dead,Vinyl,
"Nokturnal Mortum ""Twilightfall"" LP | Vinyl",Nokturnal Mortum,Twilightfall,Vinyl,
"Fief ""I-IV"" Digipak Double CD | CD",Fief,I-IV,CD,
"Rope Sect ""Enstrangement"" LP | Vinyl",Rope Sect,Enstrangement,Vinyl,
"Mortiis ""Født til å Herske"" CD | CD",Mortiis,Født til å Herske,CD,
"Mortiis ""The Song Of A Long Forgotten Ghost"" A5 Digipak CD | CD",Mortiis,The Song Of A Long Forgotten Ghost,CD,
"Moonblood ""The Black War - Rehearsal 7 1996"" Double LP | Vinyl",Moonblood,The Black War - Rehearsal 7 1996,Vinyl,
"Rites of Tara ""To the Otherworld of Silver"" Digipak CD | CD",Rites of Tara,To the Otherworld of Silver,CD,
"Alghol ""The Osseus Key"" LP | Vinyl",Alghol,The Osseus Key,Vinyl,
"Akitsa ""Totale Servitude"" Double LP | Vinyl",Akitsa,Totale Servitude,Vinyl,
"Embrace of Thorns ""...For I see Death in Their Eyes"" CD | CD",Embrace Of Thorns,...For I see Death in Their Eyes,CD,
"Black Cilice ""A Corpse, A Temple"" LP | Vinyl",Black Cilice,"A Corpse, A Temple",Vinyl,
"Exermination Temple ""Lifeless Forms"" 7"" | Vinyl",Exermination Temple,Lifeless Forms,Vinyl,
"Neter ""Inferus"" CD | CD",Neter,Inferus,CD,
"Novoy Zavet ""Apocalypse"" CD | CD",Novoy Zavet,Apocalypse,CD,
"Sentient Divide ""Haunted by Cruelty"" MC | Cassette",Sentient Divide,Haunted by Cruelty,Cassette,
"Gary Moore ""G-Force"" LP (Russian Press) | Vinyl",Gary Moore,G-Force,Vinyl,
"Embrace Of Thorns ""Atonement Ritual"" White Vinyl Test Press LP | Vinyl",Embrace Of Thorns,Atonement Ritual,Vinyl,
"Bathory ""Twilight Of The Gods"" Double LP (Official Pressing) | Vinyl",Bathory,Twilight of the Gods,Vinyl,
"Armagedon ""Death Then Nothing"" Digipack CD | CD",Armagedon,Death Then Nothing,CD,
"Fire Magic ""Undying Revolt"" LP | Vinyl",Fire Magic,Undying Revolt,Vinyl,
"Celtefog ""Delta"" Digipak CD | CD",Celtefog,Delta,CD,
"Neige et Noirceur ""La Seigneurie des Loups"" LP | Vinyl",Neige et Noirceur,La Seigneurie des Loups,Vinyl,
"Team Robespierre / Brevator split 10"" | Vinyl",,,,
"JoDöden ""Cellskräcksmemoarer"" LP | Vinyl",JoDöden,Cellskräcksmemoarer,Vinyl,
"In Battle ""The Rage Of The Northmen"" LP | Vinyl",In Battle,The Rage Of The Northmen,Vinyl,
Avsked / Schlaflos Split CD | CD,,,,
"The Great Deceiver ""Jet Black Art"" CD (At The Gates Related) | CD",The Great Deceiver,Jet Black Art,CD,
V/A Death Lives! LP | Vinyl,,,,
Carpe Tenebrum “Majestic Nothingness” Test Press LP | Vinyl,Carpe Tenebrum,Majestic Nothingness,Vinyl,
"Mayhemic Truth / Morrigan ""A Ascensão do Fogo e do Aço"" LP | Vinyl",Mayhemic Truth / Morrigan,A Ascensão do Fogo e do Aço,Vinyl,
"Aiwaz ""Dreams Of Ancient Gods"" CD (Italian DM 1994/95) | CD",Aiwaz,Dreams Of Ancient Gods,CD,
"Voidkush ""Stay Close to the Fire"" CD | CD",Voidkush,Stay Close to the Fire,CD,
"Vrag / Orbis ""The True Anthems of Nature..."" Demo | Cassette",Vrag / Orbis,The True Anthems of Nature...,Cassette,
Black Vice / Haunter Split LP | Vinyl,,,,
"Black Death ""Until We Rock: The Early Recordings of Black Death"" 3 x LP | Vinyl",BLACK DEATH,Until We Rock: The Early Recordings of Black Death,Vinyl,
"Evol ""Portraits"" CD | CD",Evol,Portraits,CD,
"Fall Ov Serafim ""Nex Iehovae"" CD | CD",Fall Ov Serafim,Nex Iehovae,CD,
"Crucifier ""Say Your Prayers"" MCD | CD",Crucifier,Say Your Prayers,CD,
"Blood ""Christbait"" LP (First Press on 1MF Recordz) | Vinyl",Blood,Christbait,Vinyl,
"Mallephyr ""Ruins of Inner Composure"" LP | Vinyl",Mallephyr,Ruins of Inner Composure,Vinyl,
"Hate Forest ""Hour of the Centaur"" LP | Vinyl",Hate Forest,Hour Of The Centaur,Vinyl,
"Immortal ""Damned in Black"" CD | CD",Immortal,Damned in Black,CD,
"Kaava & Malja ""Avaran Laavan Aavikko"" MC (GoatowaRex) | Cassette",Kaava & Malja,Avaran Laavan Aavikko,Cassette,
"Blutraum ""Sic Semper Tyrannis"" MC | Cassette",Blutraum,Sic Semper Tyrannis,Cassette,
"Stabat Mater ""Treason By The Son Of Man"" LP | Vinyl",Stabat Mater,Treason By The Son Of Man,Vinyl,
"Mindkult ""Lucifer's Dream"" MC | Cassette",Mindkult,Lucifer's Dream,Cassette,
"Crown of Asteria ""Return to Light"" MC | Cassette",Crown of Asteria,Return to Light,Cassette,
"STYGGMYR ""Sathanas Supreme"" LP | Vinyl",STYGGMYR,Sathanas Supreme,Vinyl,
"G.B.H ""City Baby's Revenge"" LP | Vinyl",G.B.H,City Baby's Revenge,Vinyl,
"Aeon Furnace ""Providence Descends"" MC | Vinyl",Aeon Furnace,Providence Descends,Vinyl,
"Surtr ""World of Doom"" CD | CD",Surtr,World of Doom,CD,
"Onslaught ""Power From Hell"" CD | CD",Onslaught,Power From Hell,CD,
"Mgla ""With Hearts Towards None"" LP | Vinyl",Mgla,With Hearts Towards None,Vinyl,
"Khazad Dhum ""Human Breeds Evil"" CD | CD",Khazad Dhum,Human Breeds Evil,CD,
"Sorcery ""Ultimate Box"" 2LP + 2MC Boxset | Vinyl",Sorcery,Ultimate Box,Vinyl,
"Jersey Dogs ""Don't Worry, Get Angry!"" LP (Wild Rags 1989) | Vinyl",Jersey Dogs,"Don't Worry, Get Angry!",Vinyl,
"Mörghuul ""Domination of the Beast"" LP | Vinyl",Mörghuul,Domination of the Beast,Vinyl,
"Weregoat ""Slave Bitch of the Black Ram Master"" CD | CD",Weregoat,Slave Bitch of the Black Ram Master,CD,
"Deathspell Omega ""Manifestations 2002"" LP (Side B Scratched) | Vinyl",Deathspell Omega,Manifestations 2002,Vinyl,
"Bathory ""Nordland II"" MC | Cassette",Bathory,Nordland II,Cassette,
"Mephorash ""1557: The Rites of Nullification"" LP | Vinyl",Mephorash,1557: The Rites of Nullification,Vinyl,
"Luzbel ""¡¿Otra Vez?!"" MC | Cassette",Luzbel,¡¿Otra Vez?!,Cassette,
"Demon Head ""Viscera"" MC | Cassette",Demon Head,Viscera,Cassette,
"Dagorath ""Glare of the Morning Star"" CD | CD",Dagorath,Glare of the Morning Star,CD,
"Mental Casket ""Demo 2020"" Demo | Cassette",Mental Casket,Demo 2020,Cassette,
"Ancestors Blood ""When the Forest Calls"" CD | CD",Ancestors Blood,When the Forest Calls,CD,
Drengskapur / Häxenzijrkell Split Digipak CD | CD,,,,
"In League With Satan / Blaspherian Split 7"" | Vinyl",,,,
"Nominon ""Legiôes Em Portugal"" 7"" | Vinyl",Nominon,Legiôes Em Portugal,Vinyl,
"Paria ""Blut & Knochenstaub"" LP | Vinyl",Paria,Blut & Knochenstaub,Vinyl,
"Sanctifier ""Demons"" CD (Cult Colombian DM '92-'95) | CD",Sanctifier,Demons,CD,
"Komootra ๛ ""Komootra"" CD | CD",Komootra ๛,Komootra,CD,
"Délétère ""Theovorator: Babelis Testamentum"" LP | Vinyl",Délétère,Theovorator: Babelis Testamentum,Vinyl,
"Satanic Prophecy ""Azoth"" 10"" | Vinyl",Satanic Prophecy,Azoth,Vinyl,
"Kaosritual ""Svoept Morgenroed"" LP | Vinyl",Kaosritual,Svoept Morgenroed,Vinyl,
"Fluisterwoud ""Een sinister schouwspel"" 7"" | Vinyl",Fluisterwoud,Een sinister schouwspel,Vinyl,
"Terrorama ""Promoting the Orthodox"" Demo | Cassette",Terrorama,Promoting the Orthodox,Cassette,
"Proclamation ""Imperious Jaws of Ire"" LP | Vinyl",Proclamation,Imperious Jaws of Ire,Vinyl,
"Demonic Temple ""Incrementum"" LP | Vinyl",Demonic Temple,Incrementum,Vinyl,
"Lord of the End ""Lord of the End"" Demo | Cassette",Lord of the End,Lord of the End,Cassette,
"Blot & Bod ""Ormekongens Argelist"" Digipak CD | CD",Blot & Bod,Ormekongens Argelist,CD,
"Крюкокрест ""Ауфидерзейн"" Double LP | Vinyl",Крюкокрест,Ауфидерзейн,Vinyl,
"Celtic Frost ""Are You Morbid?"" Double LP | Vinyl",Celtic Frost,Are You Morbid?,Vinyl,
"Luzbel ""El Tiempo de la Bestia"" MC | Cassette",Luzbel,El Tiempo de la Bestia,Cassette,
"Voidd ""Premonatry Inscription (Demo I 90’) / Human Atrophy (Demo II 91’)"" LP (Zzooouhh) | Vinyl",Voidd,Premonatry Inscription (Demo I 90’) / Human Atrophy (Demo II 91’),Vinyl,
"Sarvari ""Arxaiolatria"" CD | CD",Sarvari,Arxaiolatria,CD,
"Scars of Sodom ""Annihilation of Souls"" LP | Vinyl",Scars of Sodom,Annihilation of Souls,Vinyl,
"Black Spell ""Season of the Damned"" LP | Vinyl",Black Spell,Season of the Damned,Vinyl,
"Cultes Des Ghoules ""Eyes of Satan"" MCD | CD",Cultes Des Ghoules,Eyes of Satan,CD,
"Saturnalia Temple / Nightbringer / Nihil Nocturne / Aluk Todolo ""On The Powers Of The Sphinx"" LP | Vinyl",Saturnalia Temple / Nightbringer / Nihil Nocturne / Aluk Todolo,On The Powers Of The Sphinx,Vinyl,
"Véu Negro ""Antigos Rituais de Sangue"" CD | CD",Véu Negro,Antigos Rituais de Sangue,CD,
"Noctis Imperium ""Nihil"" CD | CD",Noctis Imperium,Nihil,CD,
"The Dead Ones ""The Dead Ones"" 7"" | Vinyl",The Dead Ones,The Dead Ones,Vinyl,
"Valoton ""Beastificate"" LP | Vinyl",Valoton,Beastificate,Vinyl,
"Perkele / Ironbird ""Pohjola"" Purple Vinyl Test Press LP | Vinyl",Perkele / Ironbird,Pohjola,Vinyl,
"Manzanar ""Manzanar"" 7"" | Vinyl",Manzanar,Manzanar,Vinyl,
"Vetala ""The Lord of Eternity"" LP | Vinyl",Vetala,The Lord of Eternity,Vinyl,
"Gorsedd FM ""The Promise of Rot"" Digipak CD | CD",Gorsedd FM,The Promise of Rot,CD,
"Extermination Temple ""Lifeless Forms"" 7"" | Vinyl",Extermination Temple,Lifeless Forms,Vinyl,
"Old Forest ""Sutwyke"" LP | Vinyl",Old Forest,Sutwyke,Vinyl,
"Infernüs ""Eclipse Perpétuo"" LP | Vinyl",Infernüs,Eclipse Perpétuo,Vinyl,
"Void Prayer / Nidernes Split 7"" | Vinyl",,,,
"Atrocity ""To Be... Or Not To Be"" CD | CD",Atrocity,To Be... Or Not To Be,CD,
Villainy ¨Heir to the Throne¨ 7¨ | Vinyl,,,,
"V/A ""The Perfection of Insight"" Digipak CD | CD",V/A,The Perfection of Insight,CD,
"Old Cult ""Worship the Cult of Death"" CD | CD",Old Cult,Worship the Cult of Death,CD,
"Häxkapell ""Eldhymner"" LP | Vinyl",Häxkapell,Eldhymner,Vinyl,
"Fallen Angel ""All Salvation Lost"" MC | Cassette",Fallen Angel,All Salvation Lost,Cassette,
"Eternal Throne ""Divine Eternally"" CD | CD",Eternal Throne,Divine Eternally,CD,
"Killing Addiction ""Shores of Oblivion"" LP | Vinyl",Killing Addiction,Shores of Oblivion,Vinyl,
"Invocator ""Excursion Demise"" CD | CD",Invocator,Excursion Demise,CD,
"Emperor ""Prometheus Discipline of Fire & Demise"" LP | Vinyl",Emperor,Prometheus Discipline of Fire & Demise,Vinyl,
"Theophonos ""Nightmare Visions"" LP | Vinyl",Theophonos,Nightmare Visions,Vinyl,
"Karnilapakte ""Karnilapakte"" CD | CD",Karnilapakte,Karnilapakte,CD,
"Nominon ""The Cleansing"" LP | Vinyl",Nominon,The Cleansing,Vinyl,
"Pestilent Death ""Chapters of Depravity"" LP | Vinyl",Pestilent Death,Chapters of Depravity,Vinyl,
"Funeral Winds ""Screaming for Resurrection"" MC | Cassette",Funeral Winds,Screaming for Resurrection,Cassette,
"Hvergelmir ""Urskog"" LP | Vinyl",Hvergelmir,Urskog,Vinyl,
"Antichrist (Hungary) ""Dark Age... in the Very Beginning"" CD | CD",Antichrist (Hungary),Dark Age... in the Very Beginning,CD,
"Os ""Tehom"" LP | Vinyl",Os,Tehom,Vinyl,
"Ifernach ""Skin Stone Blood Bone"" Coke Bottle Green Vinyl LP (NWN Exclusive) | Vinyl",Ifernach,Skin Stone Blood Bone,Vinyl,
"The Hounds of Hasselvander ""Further Torments of the SG"" MLP | Vinyl",The Hounds of Hasselvander,Further Torments of the SG,Vinyl,
"Aura Mortis ""Proclamation of the Sardonic Flame"" CD | CD",Aura Mortis,Proclamation of the Sardonic Flame,CD,
"Nebiros ""Mas Que Vencedor / Espérame En El Infierno"" CD | CD",Nebiros,Mas Que Vencedor / Espérame En El Infierno,CD,
"One Master ""The Names of Power"" MC | Cassette",One Master,The Names of Power,Cassette,
"Ice War ""Manifest Destiny"" LP | Vinyl",Ice War,Manifest Destiny,Vinyl,
"Skelethal ""Antropomorphia Demo 2019"" Digipak CD | CD",Skelethal,Antropomorphia Demo 2019,CD,
"Sabbat ""Sabbaticult"" CD | CD",Sabbat,Sabbaticult,CD,
"Dolmen ""On The Eve of War - Outtakes '89"" MC | Cassette",Dolmen,On The Eve of War - Outtakes '89,Cassette,
"Dungeontroll ""Mournful Melodies of Ophior's Grotto"" LP | Vinyl",Dungeontroll,Mournful Melodies of Ophior's Grotto,Vinyl,
"Samael ""The Demos"" Digipak CD | CD",Samael,The Demos,CD,
"Audiopain ""Revel In Desecration"" LP | Vinyl",Audiopain,Revel In Desecration,Vinyl,
"Astral Tomb ""Soulgazer"" MC | Cassette",Astral Tomb,Soulgazer,Cassette,
"In Pain ""The Thing From The Grave"" LP | Vinyl",In Pain,The Thing From The Grave,Vinyl,
"Ascended Dead ""Arcane Malevolence"" MC | Cassette",Ascended Dead,Arcane Malevolence,Cassette,
"Sabbat ""Karmagmassacre"" Double LP | Vinyl",Sabbat,Karmagmassacre,Vinyl,
"Black Cilice ""Banished From Time"" LP | Vinyl",Black Cilice,Banished From Time,Vinyl,
"Mäleficentt / Veštac ""Soul's Exhumation on the Pyres of Trascension / Legends of the Ancient Ones"" Split LP | Vinyl",Mäleficentt / Veštac,Soul's Exhumation on the Pyres of Trascension / Legends of the Ancient Ones,Vinyl,
"Blind Witch ""Burn Witch Burn"" MC (Temis of Sabbat) | Cassette",Blind Witch,Burn Witch Burn,Cassette,
"Sentiessence ""From the Shadows of Rural Albion"" MC | Cassette",Sentiessence,From the Shadows of Rural Albion,Cassette,
"All Out War ""Hymns Of The Apocalypse"" Blue Vinyl 7"" | Vinyl",All Out War,Hymns Of The Apocalypse,Vinyl,
"Ancestral Shadows ""Wolven Mysteries of Ancient Lore"" Test Press LP | Vinyl",Ancestral Shadows,Wolven Mysteries of Ancient Lore,Vinyl,
"Mgla ""Mdlosci"" CD | CD",Mgla,Mdlosci,CD,
"Murdryck ""Födelsen"" Digipak CD | CD",Murdryck,Födelsen,CD,
"Teufelsberg ""Cienie"" LP | Vinyl",Teufelsberg,Cienie,Vinyl,
"Seven Deadly Sins ""Welcome Radiation"" CD (Goatpenis Related) | CD",Seven Deadly Sins,Welcome Radiation,CD,
"Lord Wind ""Forgotten Songs"" Double LP (GoatowaRex) | Vinyl",Lord Wind,Forgotten Songs,Vinyl,
"Nihil Nihil Nihil ""Dance the End"" MC | Cassette",Nihil Nihil Nihil,Dance the End,Cassette,
"Blood Stronghold ""Twilight  Ceremonies"" 7"" | Vinyl",Blood Stronghold,Twilight  Ceremonies,Vinyl,
Helios Fundraiser - Factory Tour Plus | Vinyl,,,,
"Imprecation ""Theurgia Goetia Summa"" LP | Vinyl",Imprecation,Theurgia Goetia Summa,Vinyl,
"Spider God ""Black Renditions"" Digipak CD | CD",Spider God,Black Renditions,CD,
